Date,Money Supply(Trillions)
 1/31/2022,21.84
31-Dec-21,21.59
30-Nov-21,21.4
30-Oct-21,21.16
30-Sep-21,21
30-Aug-21,20.85
Jul-21,20.59
6/30/2021,20.44
5/312021,20.42
4/30/2021,20.16
3/31/2021,19.9
2/28/2021,19.66
1/31/2021,19.39
12/31/2020,19.13
11/30/2020,18.96
10/31/2020,18.75
9/30/2020,18.6
8/31/2020,18.38
7/30/2020,18.32
6/30/2020,18.18
5/31/2020,17.89
4/30/2020,17.04
3/31/2020,16.01
2/29/2020,15.47
1/31/2020,15.41
12/31/2019,15.33
1/31/2019,14.45
12/31/2018,14.37
1/31/2018,13.87
12/31/2017,13.85
